S.No.,Song,Artist,Writer,Album,Year,Lyrics
11,"""Change Your Ticket""",One Direction,"Niall Horan, Zayn Malik, Liam Payne, Harry Styles, Louis Tomlinson, Sam Martin, Julian Bunetta, John Ryan",Four,2014,"[Intro]
Don't go
Don't go

[Verse 1: Harry]
Watchin' you get dressed messes with my head
Take that bag off your shoulder
Come, get back in bed, we've still got time left
This don't have to be over

[Pre-Chorus: Niall]
And you say, ""It's hard to keep a secret""
Girl, don't leave me all alone in this hotel
And these shades can hide us from the streets, yeah
One weekend, I'll promise that I'll never tell

[Chorus: Liam, All]
You should probably stay, probably stay a couple more days
Come on, let me change your ticket home, oh-oh
You should probably stay, be with me a couple more days
Come on, let me change your ticket home
Don't go, it's not the same when you're gone
And it's not good to be all alone
So, you should probably stay, be with me a couple more days
Come on, let me change your ticket home

[Verse 2: Zayn, Niall]
Don't play innocent, I know what you meant
When you said you'd come over
Aren't we way past that, playin' hard to get?
We did that when we were younger

[Pre-Chorus: Louis]
And you say, ""It's hard to keep a secret""
Girl, don't leave me all alone in this hotel
And these shades can hide us from the streets, yeah
One weekend, I'll promise that I'll never tell

[Chorus: Liam, Harry, All]
You should probably stay, probably stay a couple more days
Come on, let me change your ticket home, oh-oh
You should probably stay, be with me a couple more days
Come on, let me change your ticket home (Come on, let me change your ticket)
Don't go, it's not the same when you're gone
And it's not good to be all alone (Oh!)
Don't go, it's not the same when you're gone
Come on, let me change your ticket home, oh-oh

[Bridge: Zayn]
Why don't we take some time?
Why don't we take just a little more time?
Why don't we make it right?
Girl, I don't wanna say goodbye

[Chorus: Liam, Harry & Liam, Harry, All]
You should probably stay, probably stay a couple more days
Come on, let me change your ticket home, oh-oh
You should probably stay (Yeah), be with me a couple more days (A couple more days)
Come on, let me change your ticket home
Don't go, it's not the same when you're gone
And it's not good to be all alone
Don't go (Don't go), it's not the same when you're gone
Come on, let me change your ticket home"
12,"""Clouds""",One Direction,"Zayn Malik, Liam Payne, Louis Tomlinson, Jamie Scott, Julian Bunetta, John Ryan",Four,2014,"[Intro: All]
Oh-oh-oh-oh (Clouds)
Oh-oh-oh-oh (Clouds)

[Verse 1: Harry, Louis]
I know you say that you don't like it complicated
That we should try to keep it simple
But love is never, ever simple, no
Someday, you're gonna see the things that I see
You're gonna want the air that I breathe
You're gonna wish you never left me

[Chorus: All, Harry]
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end?
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end?
If we're never comin' back down
Yeah, we're lookin' down on the clouds

[Post-Chorus: All]
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh

[Verse 2: Liam, Zayn]
I know you said that you don't like it complicated
That you are tired of all the changes
Well, love is always, always changing, woah
But someday, you're gonna see the things that I see
You're gonna want the air that I breathe
You're gonna wish you never left me

[Chorus: All, Harry]
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end?
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end?
If we're never comin' back down
Yeah, we're lookin' down on the clouds

[Bridge: Niall, Harry]
And we go, and we go, and we go, and we don't stop (Clouds)
No, we don't, no, we don't, no, we don't ever grow up (Clouds)
And we go, and we go, and we go, and we don't stop (Clouds)
No, we don't, no, we don't, no, we don't ever grow up

[Chorus: All, Zayn, Niall]
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end?
Here we go again
Another go-round for all of my friends
Another non-stop, will it ever end? (Here we go again)
(And we go, and we go, and we go, and we don't stop)
Here we go again
Another go-round for all of my friends (Here we go again)
(No, we don't, no, we don't, no, we don't ever grow up)
Another non-stop, will it ever end?
Here we go again (Here we go again)
(And we go, and we go, and we go, and we don't stop)
Another go-round for all of my friends
Another non-stop, will it ever end? (Here we go again)"
13,"""Diana""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"[Intro: Zayn]
Diana

[Verse 1: Liam, All, Harry]
The front pages are your pictures, they make you look so small
How could someone not miss you at all? (Oh-oh-oh)
I never would mistreat ya, no, I'm not a criminal
I speak a different language, but I still hear your call

[Chorus: All]
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine

[Post-Chorus: Zayn]
Oh-oh
Diana

[Verse 2: Niall, All, Louis]
It's only been four months, but you've fallen down so far
How could someone mislead you at all? (Oh-oh-oh)
I wanna reach out for ya, I wanna break these walls
I speak a different language, but I still hear you call

[Chorus: All]
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine

[Bridge: Harry]
We all need somethin'
This can't be over now
If I could hold ya
Swear I'd never put you down

[Chorus: All]
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine

[Post-Chorus: All, Zayn, Harry]
(Oh-oh-oh) Diana
(Oh-oh-oh-oh-oh-oh) Diana
Baby, you'd be savin' mine
(Oh-oh-oh) Diana
(Oh-oh-oh-oh-oh-oh) Diana
Baby, you'd be savin' mine"
14,"""Does He Know?""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"[Verse 1: Liam]
He knows about you in every way
He's memorised every part of your face
Inside and out, baby, head to toe
Yeah, he knows everything there is to know

[Pre-Chorus: Harry]
Your secret tattoo, the way you change moods
The songs that you sing when you're all alone
Your favourite band, the way that you dance
But baby, baby

[Chorus: All]
Does he know you can move it like that? Woah
Does he know you're out and I want you so bad? Oh
Tonight, you're mine, baby
Does he know that you'll never go back? Oh
Does he know?

[Verse 2: Liam]
I catch your eye, then you turn away
But there's no hidin' the smile on your face
Inside and out, baby, head to toe
He's not around and girl, you let me know

[Pre-Chorus: Niall]
Your secret tattoo, the way you change moods
The songs that you sing when you're all alone
He knows how you dance in front of your friends
But baby, baby

[Chorus: All]
Does he know you can move it like that? Woah
Does he know you're out and I want you so bad? Oh
Tonight, you're mine, baby
Does he know that you'll never go back? Oh
Does he know?

[Bridge: Louis]
He'll never know
The way you lie when you look at me
So keep tryin', but you know I see
All the little things that make you who you are
So tell me, girl

[Breakdown: Liam, Zayn]
Does he know you can move it like that?
And does he know that you'll never go back?
Woah

[Chorus: All]
Does he know you can move it like that? Woah
Does he know you're out and I want you so bad? Oh
Tonight, you're mine, baby
Does he know that you'll never go back? Oh
Does he know?"
15,"""Don't Forget Where You Belong""",One Direction,"Tom Fletcher, Danny Jones, Dougie Poynter, Niall Horan",Midnight Memories,2013,"[Verse 1: Liam, Niall]
Been a lot of places, I've been all around the world
Seen a lot of faces, never knowing where I was
On the horizon, hmm, but I know, I know, I know, I know
The sun will be rising back home
Living out of cases, and packing up and taking off
Made a lot of changes, but not forgetting who I was
On the horizon, ooh, well, I know, I know, I know, I know
The moon will be rising back home

[Chorus: All, Harry]
Don't forget where you belong, home
Don't forget where you belong, home
If you ever feel alone, don't
You were never on your own
And the proof is in this song

[Verse 2: Harry, Harry & Liam]
I've been away for ages, but I got everything I need
I'm flicking through the pages I've written in my memory
I feel like I'm dreaming, oh, so I know, I know, I know, I know
That I'm never leaving, no, I won't go

[Chorus: All, Harry]
Don't forget where you belong, home
Don't forget where you belong, home
If you ever feel alone, don't
You were never on your own
And the proof is in this song
[Bridge: Louis, Zayn, Louis & Zayn, All]
Lights off when they should be on
Even stars in the skies, they're wrong
Short days, when the nights are long
When I think of the things I've done
Don't matter how far I've gone
I'm always free to run home

[Breakdown: All, Zayn]
Don't forget where you belong, home
Don't forget where you belong (Don't forget it), home
If you ever feel alone, don't
You were never on your own
Never, never, never, home

[Chorus: All, Niall, Zayn, Harry]
Don't forget where you belong, home
Don't forget where you belong (Don't forget it), home
If you ever feel alone, don't (Yeah)
You were never on your own (You were never)
And the proof is in this song

[Post-Chorus: All, Niall, Zayn, Liam]
Home
Don't forget it
Home
If you ever feel alone, don't
You were never on your own (You were never)
And the proof is in this song

[Outro: Niall, Zayn, Liam]
Never forget it, this song (Don't forget it)
No I'll never forget it, this song (You were never)"
16,"""Drag Me Down""",One Direction,"Julian Bunetta, Jamie Scott, John Ryan",Made in the A.M.,2015,"[Verse: Harry]
I've got fire for a heart, I'm not scared of the dark
You've never seen it look so easy
I got a river for a soul, and baby, you're a boat
Baby, you're my only reason

[Pre-Chorus: Louis]
If I didn't have you, there would be nothing left
The shell of a man that could never be his best
If I didn't have you, I'd never see the sun
You taught me how to be someone, yeah

[Chorus: Liam, Niall & Liam]
All my life, you stood by me
When no one else was ever behind me
All these lights, they can't blind me
With your love, nobody can drag me down
All my life, you stood by me
When no one else was ever behind me
All these lights, they can't blind me
With your love, nobody can drag me down

[Post-Chorus: Louis, Harry, All]
Nobody, nobody (Hey)
Nobody can drag me down
Nobody, nobody (Hey)
Nobody can drag me down

[Verse: Niall, Niall & Liam]
I've got fire for a heart, I'm not scared of the dark
You've never seen it look so easy
I got a river for a soul, and baby, you're a boat
Baby, you're my only reason

[Pre-Chorus: Harry & Liam, All, Harry]
If I didn't have you, there would be nothing left (Nothing left)
The shell of a man who could never be his best (Be his best)
If I didn't have you, I'd never see the sun (See the sun)
You taught me how to be someone, yeah

[Chorus: Niall & Liam]
All my life, you stood by me
When no one else was ever behind me
All these lights, they can't blind me
With your love, nobody can drag me down

[Post-Chorus: Louis, Harry, All]
Nobody, nobody (Hey)
Nobody can drag me down
Nobody, nobody (Hey)
Nobody can drag me

[Builtup: Liam]
All my life, you stood by me
When no one else was ever behind me
All these lights, they can't blind me
With your love, nobody can drag me down

[Chorus: Niall & Liam, Harry]
All my life, you stood by me
When no one else was ever behind me
All these lights, they can't blind me
With your love, nobody can drag me down (Nobody can drag me down)

[Post-Chorus: Louis, Harry, All]
Nobody, nobody (Hey)
Nobody can drag me down, yeah
Nobody, nobody (Hey)
Nobody can drag me down
Nobody, nobody (Hey)
Nobody can drag me down (Down)
Nobody, nobody (Hey)
Nobody can drag me down"
17,"""End of the Day""",One Direction,"Liam Payne, Louis Tomlinson, Julian Bunetta, Ed Drewett, Jacob Kasher, Wayne Hector, Gamal ""LunchMoney"" Lewis, John Ryan",Made in the A.M.,2015,"[Verse 1: Harry]
I told her that I loved her, was not sure if she heard
The roof was pretty windy and she didn't say a word
Party dying downstairs, had nothing left to do
Just me, her and the moon

[Pre-Chorus: Niall]
I said, ""You're on fire, babe""
Then down came the lightning on me
Love can be frightening for sure

[Chorus: All]
All I know at the end of the day
Is you want what you want and you say what you say
And you follow your heart even though it'll break sometimes
All I know at the end of the day
Is you love who you love, there ain't no other way
If there's something I've learned from a million mistakes
You're the one that I want at the end of the day

[Post-Chorus: All, Harry]
(Oh, oh)
At the end of the day
(Oh, I, I, I)
You're the one that I want at the end of the day

[Verse 2: Liam]
She said the night was over, I said it's forever
Twenty minutes later, wound up in the hospital
The priest thinks it's the devil, my mum thinks it's the flu
But, girl, it's only you

[Pre-Chorus: Louis]
I said, ""You're on fire, babe""
Then down came the lightning on me
Love can be frightening for sure

[Chorus: All, Harry]
All I know at the end of the day
Is you want what you want and you say what you say
And you follow your heart even though it'll break sometimes
All I know at the end of the day (All I know)
Is you love who you love, there ain't no other way
If there's something I've learned from a million mistakes
You're the one that I want at the end of the day (At the end of the day)

[Bridge: Louis]
When the sun goes down
I know that you and me and everything will be alright
And when the city's sleeping
You and I can stay awake, can keep on dreaming
You and I can stay awake, can keep on dreaming

[Chorus: Harry, All]
All I know at the end of the day
Is you want what you want and you say what you say
And you follow your heart even though it'll break sometimes
All I know at the end of the day (All I know at the end of the day)
Is you love who you love, there ain't no other way
If there's something I've learned from a million mistakes
You're the one that I want at the end of the day (At the end of the day, yeah)

[Post-Chorus: All, Louis, Harry]
(Oh, oh)
At the end of the day
(Oh, I, I, I)
You're the one that I want at the end of the day (At the end of the day)
(Oh, oh)
(Oh, I, I, I)
You're the one that I want at the end of the day"
18,"""Everything About You""",One Direction,"Steve Robson, Wayne Hector, Harry Styles, Liam Payne, Louis Tomlinson, Niall Horan, Zayn Malik, Nandini Srivastava",Up All Night,2011,"[Verse 1: Liam, Harry]
You know I've always got your back, girl
So let me be the one you come running to, running to, ru-ru-runnin'
I see it's just a matter of fact, girl, you just call my name
I'll be coming through, coming through, I'll keep comin'
On the other side of the world, it don't matter
I'll be there in two, I'll be there in two, I'll be there in two
I still feel it every time, it's just something that you do
Now ask me why I want to

[Chorus: All, Liam]
It's everything about you, you, you
Everything that you do, do, do
From the way that we touch, baby
To the way that you kiss on me
It's everything about you, you, you (It's everything about you)
The way you make it feel new, new, new
Like every party is just us two
And there's nothing I could point to

[Post-Chorus: All, Liam]
It's everything about you, you, you (Everything about you)
It's everything about you, you, you (Everything about you)
It's everything that you do, do, do (Everything about you)
It's everything about you

[Verse 2: Niall & Liam, Louis, Harry]
Yes, I like the way you smile with your eyes
Other guys see it, but don't realise that it's my-my lovin'
There's something about your laugh that it makes me want to have to
There's nothing funny so we laugh at no-no-nothing
Every minute's like the last, so let's just take it real slow
Forget about the clock that's tick-tick-tickin'
I still feel it every time, it's just something that you do
Now ask me why I want to

[Chorus: All, Zayn, Liam]
It's everything about you, you, you
Everything that you do, do, do
From the way that we touch, baby
To the way that you kiss on me (Kiss on me)
It's everything about you, you, you (It's everything about you)
The way you make it feel, new, new, new
Like every party is just us two
And there's nothing I could point to

[Post-Chorus: All, Liam]
It's everything about you, you, you (Everything about you)
It's everything about you, you, you (Everything about you)
It's everything that you do, do, do (Everything about you)
It's everything about you

[Bridge: Zayn]
And you have always been the only one I wanted
And I wanted you to know, without you, I can't face it
All we wanna have is fun, but they say that we're too young
Let them say what they want

[Chorus: All, Liam]
It's everything about you, you, you
Everything that you do, do, do
From the way that we touch, baby (The way that we touch, baby)
To the way that you kiss on me
It's everything about you, you, you (It's everything about you)
Everything that you do, do, do
Like every party is just us two
And there's nothing I could point to

[Post-Chorus: All, Liam]
It's everything about you, you, you (Everything about you)
It's everything about you, you, you (Everything about you)
It's everything that you do, do, do (Everything about you)
It's everything about you"
19,"""Fireproof""",One Direction,"Julian Bunetta, Louis Tomlinson, Jamie Scott, Liam Payne, John Ryan",Four,2014,"[Verse 1: Harry, All, Niall]
I think I'm gonna lose my mind
Something deep inside me, I can't give up
I think I'm gonna lose my mind
I roll and I roll 'til I'm out of luck
Yeah, I roll and I roll 'til I'm out of luck (Ah)
I'm feeling something deep inside (Ah)
Hotter than a jet stream burning up (Ah)
I got a feeling deep inside (Ah)
It's taking, it's taking all I've got (Ah)
Yeah, it's taking, it's taking all I've got

[Chorus: All, Liam]
'Cause nobody knows you, baby, the way I do
And nobody loves you, baby, the way I do
It's been so long, it's been so long, maybe you were fireproof
'Cause nobody saves me, baby, the way you do

[Verse 2: Louis, All]
I think I'm gonna win this time
Ridin' on the wind and I won't give up
I think I'm gonna win this time
I roll and I roll 'til I change my luck
Yeah, I roll and I roll 'til I change my luck (Ah)

[Chorus: All, Zayn, Harry]
'Cause nobody knows you, baby, the way I do
And nobody loves you, baby, the way I do
It's been so long (Ah), it's been so long, you must be fireproof
'Cause nobody saves me, baby, the way you do
('Cause nobody knows you, baby, the way I do)
(And nobody loves you, baby, the way I do)
It's been so long, it's been so long (Ah), maybe you were fireproof
'Cause nobody saves me, baby, the way you do"
20,"""Fool's Gold""",One Direction,"Jamie Scott, Maureen McDonald, Niall Horan, Zayn Malik, Liam Payne, Harry Styles, Louis Tomlinson",Four,2014,"[Verse 1: Niall]
I'm like a crow on a wire
You're the shinin' distraction that makes me fly home
I'm like a boat on the water
You're the raise on the waves that calm my mind, oh, every time

[Pre-Chorus: Harry]
But I know in my heart
You're not a constant star

[Chorus: Harry, All]
And, yeah, I've let you use me from the day that we first met
But I'm not done yet
Falling for your fool's gold
And I knew that you turned it on for everyone you met
But I don't regret
Falling for your fool's gold

[Verse 2: Liam]
I'm the first to admit that I'm reckless
I get lost in your beauty and I can't see two feet in front of me

[Pre-Chorus: Louis]
And I know in my heart
You're just a moving part

[Chorus: All, Harry]
And, yeah, I've let you use me from the day that we first met
But I'm not done yet
Falling for your fool's gold
And I knew that you turned it on for everyone you met
But I don't regret
Falling for your fool's gold
Oh

[Bridge: Zayn]
Yeah, I know your love's not real
That's not the way it feels
That's not the way you feel

[Chorus: All]
And, yes, I've let you use me from the day that we first met
But I'm not done yet
Falling for your fool's gold
And I knew that you turned it on for everyone you met
But I don't regret
Falling for your fool's gold

[Outro: Harry]
Oh
Oh
Oh, hmm"
21,"""Forever Young""",One Direction,"Bernhard Lloyd, Marian Gold, Frank Mertens",__,2010,"[Verse 1: Liam & Harry]
Let's dance in style, let's dance for a while
Heaven can wait, we're only watching the skies
Hoping for the best, but expecting the worst
Are you gonna drop the bomb or not?
Let us die young or let us live forever
We don't have the power, but we never say never
Sitting in a sandpit, life is a short trip
The music's for the sad man

[Chorus: All]
Forever young
I wanna be forever young
Do you really wanna live forever?
Forever, forever young

[Verse 2: Niall & Harry]
Some are like water, some are like the heat
Some are a melody and some are the beat
But sooner or later they all will be gone
Why don't they stay young?
It's hard to get old without a cause
I don't want to perish like a fading horse
Youth is like diamonds in the sun
And diamonds are forever

[Chorus: All & Harry]
Forever young
I wanna be forever young
Do you really wanna live forever?
Forever or never?
Forever young (Forever)
I wanna be forever young (Forever)
Do you really wanna live forever?
Forever or never?

[Bridge: Liam, Liam & Louis]
So many adventures couldn't happen today
So many songs we forgot to play
So many dreams are swinging out of the blue
We let them come true

[Breakdown: Harry]
Forever young
I wanna be forever young
Do you really want to live forever?
Forever, or never?

[Chorus: All, Harry & Liam]
Forever young
I wanna be forever young (Forever)
Do you really wanna live forever? (Forever)
Forever (Forever) or never?
Forever young
I wanna be forever young (Forever)
Do you really wanna live forever? (Forever)
Forever (Forever) or never?
Forever young
I wanna be forever young (Forever young)
Do you really wanna live forever? (Forever)
Forever (Forever) or never? (Ooh)
Forever young"
22,"""Girl Almighty""",One Direction,"Julian Bunetta, John Ryan, S. Pages Mehner",Four,2014,"[Intro: Liam]
Hey, hey
Oh, no, no, no

[Verse: Liam, Harry]
Her light is as loud as, as many ambulances
As it takes to save a saviour, oh, woah, woah, woah
Now, she floats through the room on a big balloon
Some say she's such a fake, that her love is made up, no, no, no, no

[Pre-Chorus: Niall]
Let's have another toast to the girl almighty
Let's pray we stay young, stay made of lightnin'

[Chorus: Zayn, All]
Am I the only, only believer?
There, there's something happening here
There's something happening here
The only, only believer
There, there's something happening here
I hope you feel what I'm feeling, too

[Post-Chorus: Liam]
I'd get down, I'd get down, I'd get down on my knees for ya
I'd get down, I'd get down, I'd get down on my knees
I'd get down on my knees for you

[Verse: Louis, Niall]
Her light is as loud as, as many ambulances
As it takes to save a saviour, oh, woah, woah, woah
She floats through the room on a big balloon
Some say she's such a fake, that her love is made up, no, no, no, no

[Pre-Chorus: Harry, Louis]
Let's have another toast to the girl almighty
Let's pray we stay young, stay made of lightnin'

[Chorus: Zayn, All]
Am I the only, only believer?
There, there's something happening here
There's something happening here
The only, only believer
There, there's something happening here
I hope you feel what I'm feeling, too (Ooh)

[Post-Chorus: Liam, Zayn, Niall]
I'd get down, I'd get down, I'd get down on my knees for ya (My knees for you)
I'd get down, I'd get down (I'd get down), I'd get down on my knees
I'd get down on my knees for you"
23,"""God Only Knows""","Brian Wilson, One Direction, and various artists",BBC Music and Friends,__,2014,"I may not always love you
But long as there are stars above you
You never need to doubt it
I'll make you so sure about it

God only knows what I'd be without you

If you should ever leave me
Though life would still go on believe me
The world could show nothing to me
So what good would living do me

God only knows what I'd be without you

God only knows what I'd be without you

If you should ever leave me
Well life would still go on believe me
The world could show nothing to me
So what good would living do me

God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you"
